"CurveID","Model","Parameter","Estimate"
"C025","Quadratic","(Intercept)",-3.50693726136526
"C025","Quadratic","poly(Time, 2, raw = TRUE)1",0.0282149037088778
"C025","Quadratic","poly(Time, 2, raw = TRUE)2",-2.68218551063819e-05
"C026","Cubic","(Intercept)",0.351742797523783
"C026","Cubic","poly(Time, 3, raw = TRUE)1",-0.00965673536392473
"C026","Cubic","poly(Time, 3, raw = TRUE)2",8.32613084483595e-05
"C026","Cubic","poly(Time, 3, raw = TRUE)3",-1.10573187392578e-07
"C026","Gompertz","N_0",0.11880736835512
"C026","Gompertz","N_max",2.67633974498655
"C026","Gompertz","r_max",0.0356522329713818
"C026","Gompertz","t_lag",155.892587256391
"C026","Quadratic","(Intercept)",-1.10358389839887
"C026","Quadratic","poly(Time, 2, raw = TRUE)1",0.0135120906134247
"C026","Quadratic","poly(Time, 2, raw = TRUE)2",-1.15858885572446e-05
"C027","Cubic","(Intercept)",0.390110725844441
"C027","Cubic","poly(Time, 3, raw = TRUE)1",-0.00776490211685974
"C027","Cubic","poly(Time, 3, raw = TRUE)2",7.59583336427879e-05
"C027","Cubic","poly(Time, 3, raw = TRUE)3",-1.00403550014108e-07
"C027","Gompertz","N_0",0.302276104149086
"C027","Gompertz","N_max",2.95688059890888
"C027","Gompertz","r_max",0.0373523429232215
"C027","Gompertz","t_lag",159.475718196886
"C027","Quadratic","(Intercept)",-0.980294342418135
"C027","Quadratic","poly(Time, 2, raw = TRUE)1",0.0138048148446685
"C027","Quadratic","poly(Time, 2, raw = TRUE)2",-1.12626182940064e-05
"C028","Cubic","(Intercept)",0.147498805481236
"C028","Cubic","poly(Time, 3, raw = TRUE)1",-0.0186384847950179
"C028","Cubic","poly(Time, 3, raw = TRUE)2",0.000259006654689508
"C028","Cubic","poly(Time, 3, raw = TRUE)3",-5.19712105532713e-07
"C028","Gompertz","N_0",0.0348500209176891
"C028","Gompertz","N_max",3.9169421410642
"C028","Gompertz","r_max",0.0756526955179174
"C028","Gompertz","t_lag",111.718634190121
"C028","Quadratic","(Intercept)",-0.401808607655701
"C028","Quadratic","poly(Time, 2, raw = TRUE)1",0.0116756112699926
"C028","Quadratic","poly(Time, 2, raw = TRUE)2",1.0360901391331e-05
"C029","Cubic","(Intercept)",0.120489447284003
"C029","Cubic","poly(Time, 3, raw = TRUE)1",-0.00979393174484969
"C029","Cubic","poly(Time, 3, raw = TRUE)2",0.000201250147161716
"C029","Cubic","poly(Time, 3, raw = TRUE)3",-4.47791854720967e-07
"C029","Gompertz","N_0",0.106534871908223
"C029","Gompertz","N_max",3.28455682841832
"C029","Gompertz","r_max",0.0625843055951449
"C029","Gompertz","t_lag",87.3900563282048
"C029","Quadratic","(Intercept)",-0.291228499932021
"C029","Quadratic","poly(Time, 2, raw = TRUE)1",0.014683645554849
"C029","Quadratic","poly(Time, 2, raw = TRUE)2",-7.56623274053309e-06
"C030","Cubic","(Intercept)",0.0987356883658142
"C030","Cubic","poly(Time, 3, raw = TRUE)1",-0.00778909863384631
"C030","Cubic","poly(Time, 3, raw = TRUE)2",0.000145719500914538
"C030","Cubic","poly(Time, 3, raw = TRUE)3",-2.82085162225566e-07
"C030","Gompertz","N_0",0.0975565650441906
"C030","Gompertz","N_max",3.32010576454553
"C030","Gompertz","r_max",0.0496791511504193
"C030","Gompertz","t_lag",96.1792369898543
"C030","Quadratic","(Intercept)",-0.16017284060087
"C030","Quadratic","poly(Time, 2, raw = TRUE)1",0.00785732102720297
"C030","Quadratic","poly(Time, 2, raw = TRUE)2",1.30326445543575e-05
"C031","Cubic","(Intercept)",-0.355449894552691
"C031","Cubic","poly(Time, 3, raw = TRUE)1",0.01242850363435
"C031","Cubic","poly(Time, 3, raw = TRUE)2",0.000169665666113516
"C031","Cubic","poly(Time, 3, raw = TRUE)3",-7.31916065300781e-07
"C031","Gompertz","N_0",0.0228760452235748
"C031","Gompertz","N_max",3.04891196912784
"C031","Gompertz","r_max",0.0815136554734416
"C031","Gompertz","t_lag",41.3884765044318
