"CurveID","CurveLabel","Species","Temp","Medium","Rep","BestModel","BestAIC","BestBIC","SuccessfulModels"
"C090","Bacillus.pumilus_35_TSB_1_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.","Bacillus.pumilus",35,"TSB",1,"Gompertz",12.8099885383958,16.3502395439069,3
"C091","Bacillus.pumilus_5_TSB_1_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.","Bacillus.pumilus",5,"TSB",1,"Quadratic",13.9328141663541,19.1161616303714,2
"C092","Chryseobacterium.balustinum_15_TSB_1_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.","Chryseobacterium.balustinum",15,"TSB",1,"Gompertz",-32.3852662444699,-26.9300539776784,3
"C093","Chryseobacterium.balustinum_25_TSB_1_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.","Chryseobacterium.balustinum",25,"TSB",1,"Gompertz",-4.33809507806319,-1.91356182912319,3
"C094","Chryseobacterium.balustinum_35_TSB_1_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.","Chryseobacterium.balustinum",35,"TSB",1,"Gompertz",-0.585623271957212,2.95462773355384,3
"C095","Chryseobacterium.balustinum_5_TSB_1_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.","Chryseobacterium.balustinum",5,"TSB",1,"Cubic",-86.6401927636356,-79.8037136137033,3
"C096","Clavibacter.michiganensis..RDA.R._15_TSB_1_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.","Clavibacter.michiganensis..RDA.R.",15,"TSB",1,"Cubic",-46.3084712919908,-40.4182021402511,3
"C097","Clavibacter.michiganensis..RDA.R._25_TSB_1_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.","Clavibacter.michiganensis..RDA.R.",25,"TSB",1,"Gompertz",-10.2027048022715,-6.03663808199038,3
"C098","Clavibacter.michiganensis..RDA.R._35_TSB_1_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.","Clavibacter.michiganensis..RDA.R.",35,"TSB",1,"Gompertz",-34.1098693171921,-29.943802596911,3
"C099","Clavibacter.michiganensis..RDA.R._5_TSB_1_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.","Clavibacter.michiganensis..RDA.R.",5,"TSB",1,"Cubic",-113.200579525616,-106.364100375684,3
"C100","Clavibacter.michiganensis_15_TSB_1_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.","Clavibacter.michiganensis",15,"TSB",1,"Cubic",-12.7106438432799,-6.82037469154017,3
"C101","Clavibacter.michiganensis_25_TSB_1_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.","Clavibacter.michiganensis",25,"TSB",1,"Gompertz",-14.1927685356697,-10.6525175301587,3
"C102","Clavibacter.michiganensis_35_TSB_1_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.","Clavibacter.michiganensis",35,"TSB",1,"Gompertz",-31.5619579193341,-27.395891199053,3
"C103","Clavibacter.michiganensis_5_TSB_1_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.","Clavibacter.michiganensis",5,"TSB",1,"Cubic",-101.430198313388,-94.5937191634559,3
"C104","Dickeya.zeae..RDA.R._15_TSB_1_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.","Dickeya.zeae..RDA.R.",15,"TSB",1,"Gompertz",2.7163895186533,8.60665867039302,3
"C105","Dickeya.zeae..RDA.R._25_TSB_1_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.","Dickeya.zeae..RDA.R.",25,"TSB",1,"Gompertz",-47.3266392618251,-43.4636956506261,3
"C106","Dickeya.zeae..RDA.R._35_TSB_1_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.","Dickeya.zeae..RDA.R.",35,"TSB",1,"Gompertz",12.5098170762002,16.961675865681,3
"C107","Dickeya.zeae..RDA.R._5_TSB_1_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.","Dickeya.zeae..RDA.R.",5,"TSB",1,"Quadratic",2.94391989872104,8.27273793942186,3
"C108","Dickeya.zeae_15_TSB_1_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.","Dickeya.zeae",15,"TSB",1,"Cubic",-7.37996290262979,-1.28558377828879,3
"C109","Dickeya.zeae_25_TSB_1_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.","Dickeya.zeae",25,"TSB",1,"Gompertz",-19.974566145483,-16.1116225342841,3
"C110","Dickeya.zeae_35_TSB_1_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.","Dickeya.zeae",35,"TSB",1,"Gompertz",-4.49390147020654,-0.0420426807257197,3
"C111","Dickeya.zeae_5_TSB_1_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.","Dickeya.zeae",5,"TSB",1,"Quadratic",-35.7164271291834,-30.2472438092375,3
"C112","Enterobacter.sp._15_TSB_1_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.","Enterobacter.sp.",15,"TSB",1,"Gompertz",-97.9429978896166,-90.9370109813059,3
