CurveID,CurveLabel,Species,Temp,Medium,Rep,TimeUnits,PopBioUnits,NObservations,UniqueTimeValues,MinTime,MaxTime,MinPopBio,MaxPopBio,PopBioRange
C058,"Arthrobacter citreus_7_TGE agar_1_Roth, N.G. and Wheaton, R.B., 1962. Continuity of psychrophilic and mesophilic growth characteristics in the genus Arthrobacter. Journal of bacteriology, 83(3), pp.551-555.",Arthrobacter citreus,7.000000,TGE agar,1,Hours,CFU,10,10,1.551670,342.275510,2.744245,210.552794,207.808549
C254,"Staphylococcus spp._2_Cooked Chicken Breast_1_Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",Staphylococcus spp.,2.000000,Cooked Chicken Breast,1,Hours,CFU,10,10,50.338482,653.750318,1.014598,26.452808,25.438210
C071,"Arthrobacter sp. 62_30_TGE agar_1_Roth, N.G. and Wheaton, R.B., 1962. Continuity of psychrophilic and mesophilic growth characteristics in the genus Arthrobacter. Journal of bacteriology, 83(3), pp.551-555.",Arthrobacter sp. 62,30.000000,TGE agar,1,Hours,CFU,10,10,3.252033,588.617886,2.763280,2.804854,0.041574
C304,"Weissella viridescens_4_MRS broth_1_Silva, A.P.R.D., Longhi, D.A., Dalcanton, F. and Aragão, G.M.F.D., 2018. Modelling the growth of lactic acid bacteria at different temperatures. Brazilian Archives of Biology and Technology, 61.",Weissella viridescens,4.000000,MRS broth,1,Hours,N,9,9,0.937866,383.118406,35.293721,108878.686523,108843.392802
C144,"Lactobacillus sakei_4_MRS broth_1_Silva, A.P.R.D., Longhi, D.A., Dalcanton, F. and Aragão, G.M.F.D., 2018. Modelling the growth of lactic acid bacteria at different temperatures. Brazilian Archives of Biology and Technology, 61.",Lactobacillus sakei,4.000000,MRS broth,1,Hours,N,9,9,0.482509,339.686369,44.309929,50220.361157,50176.051227
C234,"Spoilage_10_C02 Beef Striploins_1_Gill, C.O. and DeLacy, K.M., 1991. Growth of Escherichia coli and Salmonella typhimurium on high-pH beef packed under vacuum or carbon dioxide. International journal of food microbiology, 13(1), pp.21-30.",Spoilage,10.000000,C02 Beef Striploins,1,Hours,N,9,9,0.014147,12.051995,246.314193,13869.464914,13623.150721
C187,"Pseudomonas spp._20_Raw Chicken Breast_1_Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",Pseudomonas spp.,20.000000,Raw Chicken Breast,1,Hours,CFU,9,9,5.892313,65.783603,1.988812,4390.003985,4388.015173
C016,"Aerobic Mesophilic._15_Cooked Chicken Breast_1_Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",Aerobic Mesophilic.,15.000000,Cooked Chicken Breast,1,Hours,CFU,9,9,11.674665,104.958709,1.796022,3917.993213,3916.197192
C186,"Pseudomonas spp._20_Cooked Chicken Breast_1_Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",Pseudomonas spp.,20.000000,Cooked Chicken Breast,1,Hours,CFU,9,9,6.746032,54.545455,1.262802,2797.061795,2795.798993
C253,"Staphylococcus spp._20_Salted Chicken Breast_1_Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",Staphylococcus spp.,20.000000,Salted Chicken Breast,1,Hours,CFU,9,9,6.952681,61.514702,2.084944,2529.256718,2527.171774
C040,"Aerobic Psychotropic._2_Cooked Chicken Breast_1_Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",Aerobic Psychotropic.,2.000000,Cooked Chicken Breast,1,Hours,CFU,9,9,50.133383,597.637144,1.029189,2265.420877,2264.391689
C251,"Staphylococcus spp._20_Cooked Chicken Breast_1_Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",Staphylococcus spp.,20.000000,Cooked Chicken Breast,1,Hours,CFU,9,9,7.185990,61.422578,1.291803,2198.767322,2197.475519
C116,"Escherichia coli_10_C02 Beef Striploins_1_Gill, C.O. and DeLacy, K.M., 1991. Growth of Escherichia coli and Salmonella typhimurium on high-pH beef packed under vacuum or carbon dioxide. International journal of food microbiology, 13(1), pp.21-30.",Escherichia coli,10.000000,C02 Beef Striploins,1,Hours,N,9,9,0.004716,12.034250,90.215625,2095.562080,2005.346455
C017,"Aerobic Mesophilic._15_Raw Chicken Breast_1_Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",Aerobic Mesophilic.,15.000000,Raw Chicken Breast,1,Hours,CFU,9,9,20.576132,101.646091,1.548830,1364.782017,1363.233186
C034,"Aerobic Psychotropic._15_Cooked Chicken Breast_1_Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",Aerobic Psychotropic.,15.000000,Cooked Chicken Breast,1,Hours,CFU,9,9,20.873378,116.822572,1.438228,1323.056404,1321.618176
C249,"Staphylococcus spp._15_Raw Chicken Breast_1_Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",Staphylococcus spp.,15.000000,Raw Chicken Breast,1,Hours,CFU,9,9,26.344086,118.817204,4.314539,1153.882615,1149.568076
